ItemName,ItemPrice
Lemon,$1.09 
Banana,$0.26 
Hass Avocado,$1.99 
Green Seedless Grapes,$6.98 
Limes,$0.89 
Organic Bananas,$0.40 
Gala Apple,$1.15 
Red Seedless Grapes,$3.49 
Navel Orange,$1.25 
Honeycrisp Apple,$1.75 
Granny Smith Apple,$1.26 
Strawberries,$4.59 
Yellow Onion,$0.90 
Cantaloupe Melon,$4.59 
Blueberries,$2.29 
"Mandarins, Bag",$5.79 
Blackberries,$2.29 
Red Mango,$1.79 
Red Plum,$1.05 
Fuji Apple,$1.15 
Family Tree Farms Jumbo Ultra-premium Blueberries,$6.89 
Organic Bartlett Pear,$1.45 
Red Grapes,$5.24 
Black Seedless Grapes,$3.49 
Bartlett Pear,$1.15 
Bosc Pear,$1.15 
Organic Lemons,$4.59 
Organic Honeycrisp Apple,$2.41 
"Melon Up! Watermelon, Mini Seedless",$5.79 
Pineapple,$4.59 
Red Delicious Apple,$1.17 
Jumbo Navel Orange,$2.09 
Organic Valencia Orange,$1.45 
Mini Watermelon,$5.79 
McIntosh Apple,$1.15 
Pomegranate,$4.09 
Organic Bananas,$0.99 
Golden Delicious Apple,$1.45 
Organic Fuji Apple,$1.59 
Anjou Pears,$1.15 
Red Grapefruit,$1.99 
Cortland Apple,$1.19 
Dragonfruit (Pitaya),$6.07 
Plantain,$0.69 
Organic Navel Orange,$1.73 
Honeydew Melon,$5.79 
Bananas,$0.79 
Green Grapes in Poly/Wrap Bag,$3.49 
Del Monte Gold Extra Sweet Pineapple,$4.59 
Organic Organic Biologique Strawberries,$8.09 
Florida Avocado,$2.89 
Blueberries,$5.79 
Sweetango Apple,$1.40 
Forelle Pear,$1.79 
Red Pear Box,$1.36 
Empire Apple Bag,$0.72 
Naturesweet Cherubs Heavenly Salad Tomatoes,$6.89 
Ocean Spray Fresh Premium Cranberries,$3.49 
Gala Apples,$1.43 
Pears Bosc,$1.49 
Cantaloupes,$4.59 
Honeycrisp Apple Bag,$0.92 
Legend Produce Cantaloupe,$4.59 
Limited Edition Fresh Strawberries,$9.19 
Peach,$3.49 
Gala Apple Bag,$0.68 
Kandy Jumbo Cantaloupe,$4.59 
Foxy's Strawberries Fraises,$9.19 
Fresh Kampo Organic Raspberries,$5.79 
"Signature Select Mixed Fruit Medley Strawberries, Peaches, Pineapples, Mangos & Grapes",$11.49 
Dole Ananas Tropical Gold Pineapple,$4.59 
SugarBee Apples,$3.49 
Large Haas Avocados,$1.99 
Produce Cleveland Mango,$1.79 
Cucumber,$1.19 
Asparagus,$4.59 
Red Bell Pepper,$2.29 
Red Onion,$1.79 
Tomato,$1.75 
Roma Tomato,$0.69 
Green Onions (Scallions),$1.19 
Sweet Onion,$1.12 
Signature Kitchens White Cello Mushrooms,$2.89 
Green Bell Pepper,$0.52 
Orange Bell Pepper,$2.29 
Romaine Lettuce,$2.89 
Brussels Sprouts,$0.10 
Yellow Bell Pepper,$2.29 
Sunset Organic English Seedless Cucumber,$2.29 
Cauliflower,$4.59 
Jalapeno Pepper,$0.35 
Eggplant,$2.86 
Beefsteak Tomato,$1.84 
Organic Green Onions (Scallions),$2.29 
White Onion,$1.37 
"O Organics Carrots, Organic",$1.19 
Garlic,$1.19 
French Green Beans,$2.89 
Yellow Squash,$1.15 
Iceberg Lettuce,$2.29 
Organic Cilantro,$2.89 
"Signature Kitchens Potatoes, Gold",$4.59 
Green Cabbage,$3.33 
Cal Organic Farms Organic Broccoli,$4.09 
Zima™ Seriously Sweet Tomatoes!™,$4.59 
Red Bell Peppers,$2.29 
Green Long Hot Pepper,$0.86 
Bok Choy,$4.58 
Napa Cabbage,$4.58 
Spaghetti Squash,$4.98 
English Seedless Cucumber,$2.29 
Green Leaf Lettuce,$2.89 
Backyard Farms. Cocktail Cherry Tomatoes,$4.59 
Red Potato,$0.72 
Organic Red Bell Pepper,$3.49 
Cal Organic Farms Organic Lacinato Kale,$3.49 
Sunset Wild Wonders Variety Small Tomatoes,$8.09 
Organic Beets Bunch,$4.59 
"Signature Kitchens Potatoes, Russet, Idaho",$4.59 
Butternut Squash,$3.98 
"O Organics Mushrooms, Organic, White",$3.49 
Spice World Fresh Garlic Bulbs - 5 CT,$3.49 
Daikon Radish,$2.62 
Shallot,$0.69 
Gold Potato,$0.67 
Red Leaf Lettuce,$2.89 
Organic Red Leaf Lettuce,$3.49 
Red Sweet Potatoes & Yams,$1.19 
Celery Hearts,$4.59 
Green Giant Fresh Rainbow Coleslaw,$3.49 
Organic Green Leaf Lettuce,$3.49 
Acorn Squash,$2.19 
Organic Collard Greens,$3.49 
Organic Leek,$4.59 
Organic Broccoli,$6.14 
Organic Kale,$3.49 
Iceberg Lettuce,$2.29 
"O Organics Garlic, Minced, Organic",$3.49 
White Mushroom,$6.89 
Iceberg Lettuce,$2.29 
Organic Lacinato (Dinosaur) Kale,$3.49 
Portabello Mushroom,$2.29 
Celery,$3.49 
"Green Giant Yukon Gold ""A"" Potatoes",$4.09 
Habanero Pepper,$0.58 
Organic English Seedless Cucumber,$4.59 
"Signature Kitchens Mushrooms, Brown, Portabella, Whole",$4.59 
Organic Spaghetti Squash,$0.50 
Artichoke,$4.09 
Signature Farms Trimmed Celery Stalks,$4.59 
Organic Cauliflower,$5.79 
Cubanelle Pepper,$0.70 
Organic Yam,$1.92 
"Signature Potatoes, Red",$5.79 
"Melissa's Baby Dutch Yellow Potatoes, Bag",$5.79 
Red Cabbage,$4.48 
Mariani Dried Coconut,$5.19 
Anise (Aniseed) Bulb,$2.89 
Organic Green Cabbage,$4.58 
Shiitake Mushroom,$6.89 
"Cal Organic Farms Organic Rainbow Chard, Bunch",$3.49 
For You Radish,$2.29 
Organic Collard Greens,$3.49 
Oyster Mushroom,$6.89 
Cal Organic Farms Organic Bunch Carrots,$2.89 
Organic Eggplant,$4.59 
Organic Iceberg Lettuce,$3.49 
White Potato,$0.90 
"O Organics Carrots, Riced Organic, with Sea Salt",$4.59 
Mini Pumpkin,$11.90 
Organic Red Chard,$3.49 
Yucca,$0.08 
Collard Greens,$2.29 
Rutabaga,$1.52 
Organic Yellow Squash,$2.89 
"Giorgio Mushrooms, Oyster",$4.59 
Red Chard,$2.29 
Beet Bunch,$3.49 
Cal Organic Farms Red Dandelion Greens,$3.49 
Cal Organic Farms Organic Red Chard Vegetable,$3.49 
Cal Organic Farms Organic Leaks Vegetable,$4.59 
Giant Brand Parsnip,$4.59 
"Butterhead (Boston, Butter, Bibb) Lettuce",$4.09 
"Organic Mixed Peppers, FAMILY PACK",$8.09 
Sunset Kumato Tomatoes,$4.59 
Organic Avocado,$6.89 
Organic Red Kale Bunch,$3.49 
San Marzano No Salt Added Diced Tomatoes,$2.89 
Organic Acorn Squash,$2.18 
"Signature Wax Beans, Cut",$1.09 
Yellow Pepper,$2.29 
Concombre Anglais Biologique/Organic English Cucumbers,$4.59 
Green Giant Fresh Premium Brussels Sprouts,$5.79 
Olivia's Cut Butternut Squash,$4.59 
Green Giant Fresh Brussels Sprouts,$5.79 
Purple Sweet Potato (Yam),$0.66 
Orange On the Vine Tomato,$2.16 
Green Giant Snow Peas,$5.79 
Russet Potato,$0.84 
Spinach Bunch,$2.29 
Greenhouse Grown Tomato,$3.49 
Organic Carrot Bunch,$2.89 
Organic Greenhouse Grown Tomato,$5.79 
Pasilla Pepper (Chile Negro),$0.46 
Signature Farms Celery Heart,$3.49 
Organic Green Lettuce,$3.49 
Cal Organic Farms Cauliflower,$5.79 
"Nature Sweet Salad Tomatoes, Heavenly",$4.59 
"Signature Farms Premium Romaine Romaine Lettuce, Carrots, Red Cabbage Salad",$2.29 
"De Lallo Tomatoes, Italian, Whole Peeled, San Marzano Style",$4.59 
Hass Large Avocado,$1.99 
Organic Mini Cukes,$5.79 
Green Giant Fresh Snow Peas,$5.79 
Little Leaf Farms Baby Spring Mix,$4.59 
Little Leaf Farms Baby Red & Green Leaf Blend,$4.59 
