ItemName,ItemPrice
Potatoes Baking Russet Large ,$0.83 
Green Onions (Scallions) ,$1.29 
"
Stop & Shop Green Beans Trimmed & Washed ",$2.99 
Broccolini Baby Broccoli ,$2.99 
Garlic ,$0.99 
"
Stop & Shop Spinach Ready to Microwave ",$2.99 
Bell Peppers Red ,
Polaner Garlic Crushed ,$2.99 
Bell Peppers Orange ,
Celery ,$2.99 
Cucumbers ,$0.99 
Bob Evans Potatoes Hash Browns Shredded Seasoned ,$2.99 
Dole Salad Classic Romaine with Carrots & Red Cabbage ,
"
Stop & Shop Premium Salad Italian House Blend ",
"Dole 50-50 (Baby Spinach, Baby Lettuces & Baby Greens) ",$5.29 
Jalapeno Peppers ,$0.20 
"
Nature's Promise Organic Fresh Cut Vegetables Yellow Onions Diced ",$2.99 
"
Stop & Shop Celery Diced Fresh ",$2.99 
"
Store Brand Fresh Vegetables Tomatoes Diced ",$2.99 
Bell Peppers Green ,$1.50 
Garlic Jumbo Organic ,$1.99 
Green Beans Fresh ,$2.41 
Sweet Potatoes ,
Brussels Sprouts ,$2.99 
Cabbage Savoy ,$3.72 
Dole Salad Blend Italian ,
Green Onions (Scallions) Organic ,$1.79 
"
Stop & Shop Potatoes Gold All Natural ",$3.99 
Cabbage Green ,$3.09 
Carrots Baby Rainbow Peeled Organic ,$1.99 
Dole Chopped Salad Kit Bacon & Bleu ,$3.59 
Onions Red ,$2.99 
"
Store Brand Celery Sticks ",$3.79 
Artichokes ,$2.50 
Bob Evans Potatoes Home Fries Restaurant Style ,$2.99 
Cucumbers English Hot House ,
Dole Salad Blend Very Veggie ,
Garlic Premium White Chopped Polaner ,$2.99 
Green Beans ,$2.19 
"
Nature's Promise Organic Green Beans ",
"
Stop & Shop Cut Celery Sticks ",$2.99 
"
Stop & Shop Matchstix Carrots (Shredded Carrots) ",$1.99 
Sunset Tomatoes One Sweet ,
Watercress ,$2.99 
Boston Lettuce ,$2.49 
Dole Iceberg Lettuce Shredded ,$2.49 
Dole Salad Kit Caesar ,
Eggplant ,$3.46 
Garlic Jumbo ,$0.99 
Leeks Organic ,$3.99 
MountainKing Potatoes Russet SteakHouse Bakers ,$3.99 
Potato Boniato (Batata) ,$1.79 
Shallots ,$0.60 
"
Stop & Shop Carrot & Celery Sticks ",$3.79 
"
Stop & Shop Green Beans Trimmed & Washed ",$6.49 
"
Stop & Shop Sweet Potato Chunks ",$5.00 
Tomatoes on the Vine ,$0.61 
Yellow Squash ,$1.00 
Broccoli - apx 1-3 Stalks ,$3.91 
Broccoli Crowns ,$1.31 
Broccoli Organic ,$4.99 
Cherry Tomatoes on The Vine ,$3.99 
Dole Chopped Salad Kit Sweet Kale ,$3.59 
Dole Fresh Chopped Salad Kit Caesar ,$3.59 
Dole Premium Romaine Salad ,
Iceberg Lettuce ,$1.99 
Kale Greens Curly ,
"
Nature's Promise Organic Baby Spinach ",$5.00 
"
Nature's Promise Organic Butternut Squash ",$5.49 
Onions White ,$1.99 
Polaner Chopped Garlic Premium White ,
Spaghetti Squash ,$2.89 
"
Stop & Shop Asparagus Spears ",$5.00 
"
Stop & Shop Brussels Sprouts Halved ",$5.00 
"
Stop & Shop Carrots Petite ",$2.79 
"
Stop & Shop Collard Greens ",
"
Stop & Shop Fresh Vegetables Butternut Squash Noodles ",$5.00 
"
Stop & Shop Fresh Vegetables Sweet Potato Crinkle Cut Fries ",$5.00 
"
Stop & Shop Fresh Vegetables Zucchini Planks ",$5.00 
"
Stop & Shop Garlic Minced in Water ",$2.99 
"
Stop & Shop Salad Basics Baby Arugula ",
Sunset Tomatoes Angel Sweet ,
Sunset Tomatoes Campari ,
Tomatoes Campari ,
Andy Boy Broccoli Rabe ,$3.32 
Asparagus Organic ,$5.99 
B&W Baby Arugula ,$2.99 
Bell Peppers Yellow ,
Carrots with Greens Organic ,$2.49 
Celery Hearts Organic ,$3.99 
Collard Greens ,
