ItemName,ItemPrice
Organic Honeycrisp Apple,$3.69 /lb
"
Large Hass Avocado, 1 each
",$2 
"


Organic Large Hass Avocado, 1 each
",$1.99 
Whole Trade® Organic Bananas,69¢/lb
"

Organic Broccoli",$2.49/lb
"

Organic Red Seedless Grapes
",$2.49/lb
"
Green Asparagus",$3.99/lb
"
Organic Fuji Apple
",$1.49/lb
"Small Hass Avocado, 1 each $1.39


Small Hass Avocado, 1 each
$1.39",$1.39 
"Lemon, 1 each",79¢
"Organic Bunched Celery, 1 each ",$1.99 
"Whole Trade® Bananas by Whole Foods Market™ 
",49¢ /lb
"Honeycrisp Apple by PRODUCE 
",$2.99 /lb
"Vine Tomato 
",$1.99 /lb
Organic Green Asparagus,$5.99/lb
"Organic Zucchini Squash $2.99 /lb
", $2.99 /lb
"Organic Cauliflower, 1 each
",$3.99 
"Organic WTG Green Seedless Grapes
",$3.99 /lb
Organic Heirloom Tomato,$4.99 /lb
Organic Yellow Onion,$1.29 /lb
"Organic Cilantro Bunch, 1 each",$1.49 
Organic Gala Apple,$1.99 /lb
"Organic Green Kale, 1 each",$1.99 
Organic Jewel Yam Sweet Potato ,$1.99 /lb
Green Seedless Grapes,$2.49 /lb
"Organic Baby Spinach, 16 oz by 365 Everyday Value®",$4.99 
Navel Orange,$1.49 /lb
Organic Red Onion,$1.49 /lb
Red Seedless Grapes ,$2.49 /lb
"Lime, 1 each ",49¢
Whole Trade® Organic Red Bell Peppers,$3.99 /lb
Organic Garnet Yam Sweet Potato ,$1.99 /lb
"Organic Scallion Green Onion, 1 each ",$1.29 
"Organic Romaine Hearts, 1 lb by 365 Everyday Value® ",$3.49 
"Sunripe Certified Organic Grape Tomatoes, 1 each by Sunripe Certified Brands $2.99",$2.99 
"Organic Green Cucumber, 1 each $1.49",$1.49 
"Organic Baby Spinach, 5 oz by Whole Foods Market™ $3.49",$3.49 
Cubed Watermelon ,$5.49 /lb
Organic Ginger Root ,$3.99 /lb
Organic Granny Smith Apple ,$1.99 /lb
Zucchini Squash ,$2.49 /lb
"Organic Italian Parsley Bunch, 1 each ",$1.49 
Organic Bartlett Pear , $2.49 /lb
Organic D Anjou Pear,$2.49 /lb
Whole Trade® Guarantee Pineapple Chunks,$6.49 /lb
"Organic Baby Broccoli, 1 each ",$2.99 
"Organicgirl Romaine Heart Leaves, 7 oz by organicgirl",$4.99 
Organic Green Cabbage ,99¢ /lb
Organic Loose Carrots ,99¢ /lb
"Organic Lemon, 1 each 99¢", 99¢
"Organic Romaine Lettuce, 1 each $1.99",$1.99 
"Organic Baby Spinach (10 oz), 10 oz by organicgirl",$4.99 
